PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Jabari Walker,"Tue
2/13",POR,vs,MIN,"L
109-121",17,4,7,0,0,0,2,5,40.0,0,0,,0,0,,40.0,3,4,1,4,-11
Jabari Walker,"Sat
2/10",POR,vs,NOP,"L
84-93",29,6,4,0,0,0,3,5,60.0,0,1,0.0,0,0,,60.0,1,3,1,4,-16
Jabari Walker,"Thu
2/8",POR,vs,DET,"L
122-128",43,17,11,2,1,2,6,14,42.9,1,3,33.3,4,6,66.7,51.1,3,8,1,3,-5
Jabari Walker,"Sun
2/4",POR,@,DEN,"L
103-112",30,4,7,0,0,0,2,8,25.0,0,5,0.0,0,0,,25.0,3,4,1,1,-22
Jabari Walker,"Fri
2/2",POR,@,DEN,"L
108-120",21,7,8,0,0,0,3,7,42.9,0,1,0.0,1,1,100.0,47.0,4,4,1,2,-25
Jabari Walker,"Wed
1/31",POR,vs,MIL,"W
119-116",16,8,5,2,1,0,3,4,75.0,1,2,50.0,1,1,100.0,90.1,1,4,1,3,-6
Jabari Walker,"Mon
1/29",POR,vs,PHI,"W
130-104",31,8,12,0,1,0,3,6,50.0,1,1,100.0,1,2,50.0,58.1,2,10,1,1,=+17
Jabari Walker,"Sun
1/28",POR,vs,CHI,"L
96-104",24,7,6,0,0,1,3,10,30.0,0,3,0.0,1,1,100.0,33.5,1,5,3,4,-10
Jabari Walker,"Fri
1/26",POR,@,SAS,"L
100-116",37,3,9,2,2,1,1,5,20.0,0,2,0.0,1,4,25.0,22.2,2,7,0,2,-21
Jabari Walker,"Wed
1/24",POR,@,HOU,"W
137-131",24,9,7,1,0,0,2,4,50.0,1,2,50.0,4,4,100.0,78.1,1,6,2,4,=+7
Jabari Walker,"Tue
1/23",POR,@,OKC,"L
109-111",34,14,13,0,0,1,6,14,42.9,2,7,28.6,0,0,,50.0,6,7,1,0,-7
Jabari Walker,"Sun
1/21",POR,@,LAL,"L
110-134",22,12,7,0,0,0,5,8,62.5,1,2,50.0,1,2,50.0,67.6,3,4,0,0,-30
Jabari Walker,"Fri
1/19",POR,vs,IND,"W
118-115",41,13,12,3,0,1,4,11,36.4,0,2,0.0,5,6,83.3,47.7,2,10,0,3,=+3
Jabari Walker,"Wed
1/17",POR,vs,BKN,"W
105-103",30,4,6,0,1,0,1,4,25.0,1,1,100.0,1,2,50.0,41.0,0,6,0,2,-6
Jabari Walker,"Sun
1/14",POR,vs,PHX,"L
116-127",29,11,8,1,0,0,4,6,66.7,2,3,66.7,1,2,50.0,79.9,2,6,1,2,-15
Jabari Walker,"Fri
1/12",POR,@,MIN,"L
93-116",32,17,13,3,1,0,6,11,54.5,1,2,50.0,4,4,100.0,66.6,2,11,4,4,=+2
Jabari Walker,"Wed
1/3",POR,@,DAL,"L
97-126",17,4,5,4,0,0,1,3,33.3,0,1,0.0,2,2,100.0,51.5,1,4,1,2,-13
Jabari Walker,"Mon
1/1",POR,@,PHX,"L
88-109",25,10,9,0,1,0,3,7,42.9,0,2,0.0,4,6,66.7,51.9,2,7,1,2,-16
Jabari Walker,"Fri
12/29",POR,vs,SAS,"W
134-128",30,25,9,1,1,1,7,11,63.6,1,2,50.0,10,13,76.9,74.8,6,3,1,4,=+12
Jabari Walker,"Thu
12/28",POR,vs,SAS,"L
105-118",30,6,9,0,1,1,2,4,50.0,0,0,,2,2,100.0,61.5,2,7,1,4,-18
Jabari Walker,"Tue
12/26",POR,vs,SAC,"W
130-113",22,17,6,1,0,0,6,8,75.0,1,2,50.0,4,5,80.0,83.3,2,4,0,1,=+13
Jabari Walker,"Sat
12/23",POR,@,GSW,"L
106-126",18,5,5,0,0,1,2,4,50.0,0,2,0.0,1,2,50.0,51.2,2,3,1,2,-25
Jabari Walker,"Thu
12/21",POR,vs,WAS,"L
117-118",24,8,11,3,1,1,3,6,50.0,1,2,50.0,1,2,50.0,58.1,4,7,2,3,=+18
Jabari Walker,"Tue
12/19",POR,vs,PHX,"W
109-104",10,9,2,0,0,0,3,3,100.0,1,1,100.0,2,2,100.0,116.0,1,1,0,2,=+13
Jabari Walker,"Sun
12/17",POR,vs,GSW,"L
114-118",15,4,5,0,1,1,1,3,33.3,0,0,,2,2,100.0,51.5,2,3,1,4,0
Jabari Walker,"Sat
12/16",POR,vs,DAL,"L
120-131",5,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,,0.0,0,2,0,0,-2
Jabari Walker,"Thu
12/14",POR,vs,UTA,"L
114-122",28,13,9,1,1,0,5,10,50.0,0,2,0.0,3,5,60.0,53.3,4,5,0,0,=+13
Jabari Walker,"Mon
12/11",POR,@,LAC,"L
127-132",22,9,8,1,1,0,3,4,75.0,1,2,50.0,2,2,100.0,92.2,3,5,1,1,=+1
Jabari Walker,"Fri
12/8",POR,vs,DAL,"L
112-125",27,10,3,2,0,0,3,10,30.0,1,3,33.3,3,3,100.0,44.2,1,2,0,2,-15
Jabari Walker,"Wed
12/6",POR,@,GSW,"L
106-110",22,12,5,1,1,1,5,8,62.5,0,2,0.0,2,2,100.0,67.6,2,3,2,6,-5
Jabari Walker,"Sat
12/2",POR,@,UTA,"L
113-118",24,4,6,1,1,0,1,5,20.0,0,2,0.0,2,2,100.0,34.0,2,4,1,0,-5
Jabari Walker,"Thu
11/30",POR,@,CLE,"W
103-95",24,6,12,1,1,0,3,7,42.9,0,2,0.0,0,0,,42.9,2,10,1,3,=+5
Jabari Walker,"Mon
11/27",POR,@,IND,"W
114-110",15,1,3,0,0,0,0,3,0.0,0,1,0.0,1,2,50.0,12.9,1,2,1,2,-4
Jabari Walker,"Sun
11/26",POR,@,MIL,"L
102-108",16,4,3,0,0,0,2,3,66.7,0,1,0.0,0,0,,66.7,0,3,1,4,=+6
Jabari Walker,"Wed
11/22",POR,vs,UTA,"W
121-105",28,19,10,2,2,0,8,15,53.3,2,3,66.7,1,2,50.0,59.8,6,4,1,4,=+11
Jabari Walker,"Tue
11/21",POR,@,PHX,"L
107-120",14,8,3,0,0,0,3,6,50.0,0,2,0.0,2,2,100.0,58.1,0,3,1,5,-4
Jabari Walker,"Sun
11/19",POR,vs,OKC,"L
91-134",22,13,7,2,1,0,6,15,40.0,1,5,20.0,0,1,0.0,42.1,3,4,3,2,-21
Jabari Walker,"Fri
11/17",POR,vs,LAL,"L
95-107",18,7,5,1,0,0,2,6,33.3,0,2,0.0,3,5,60.0,42.7,2,3,0,0,=+2
Jabari Walker,"Wed
11/15",POR,vs,CLE,"L
95-109",23,12,3,1,0,2,4,7,57.1,3,4,75.0,1,2,50.0,76.1,1,2,2,2,-12
Jabari Walker,"Tue
11/14",POR,@,UTA,"L
99-115",21,12,8,0,2,1,5,7,71.4,2,3,66.7,0,0,,85.7,2,6,0,0,-8
Jabari Walker,"Sun
11/12",POR,@,LAL,"L
110-116",18,8,4,1,1,1,4,7,57.1,0,2,0.0,0,0,,57.1,0,4,0,3,=+7
Jabari Walker,"Wed
11/8",POR,@,SAC,"L
118-121",15,2,2,1,0,0,1,2,50.0,0,1,0.0,0,0,,50.0,0,2,1,4,-12
Jabari Walker,"Sun
11/5",POR,vs,MEM,"L
100-112",16,5,5,1,3,1,2,9,22.2,0,5,0.0,1,1,100.0,26.5,3,2,0,2,=+4
Jabari Walker,"Fri
11/3",POR,vs,MEM,"W
115-113",9,0,4,0,0,1,0,2,0.0,0,0,,0,0,,0.0,1,3,0,2,-7
Jabari Walker,"Wed
11/1",POR,@,DET,"W
110-101",10,1,2,0,0,0,0,2,0.0,0,0,,1,2,50.0,17.4,0,2,1,0,-6
Jabari Walker,"Mon
10/30",POR,@,TOR,"W
99-91",16,4,3,0,0,1,2,3,66.7,0,0,,0,0,,66.7,0,3,1,2,=+1
Jabari Walker,"Sun
10/29",POR,@,PHI,"L
98-126",24,12,7,1,4,1,4,9,44.4,1,3,33.3,3,3,100.0,58.1,3,4,2,4,=+5
Jabari Walker,"Fri
10/27",POR,vs,ORL,"L
97-102",9,9,4,0,0,0,2,3,66.7,1,2,50.0,4,4,100.0,94.5,1,3,0,3,=+1
Jabari Walker,"Wed
10/25",POR,@,LAC,"L
111-123",6,6,1,0,0,0,2,3,66.7,0,0,,2,3,66.7,69.4,1,0,2,0,=+12
Michael Porter Jr.,"Sun
4/14",DEN,@,MEM,"W
126-111",24,12,5,4,0,2,5,12,41.7,2,8,25.0,0,0,,50.0,0,5,2,0,=+27
Michael Porter Jr.,"Fri
4/12",DEN,@,SAS,"L
120-121",29,14,3,0,0,0,5,14,35.7,1,5,20.0,3,3,100.0,45.7,0,3,1,2,-7
Michael Porter Jr.,"Wed
4/10",DEN,vs,MIN,"W
116-107",37,18,8,2,0,0,7,14,50.0,2,4,50.0,2,2,100.0,60.5,3,5,1,2,=+7
Michael Porter Jr.,"Tue
4/9",DEN,@,UTA,"W
111-95",29,12,5,0,1,1,5,13,38.5,2,7,28.6,0,0,,46.2,1,4,0,1,=+15
Michael Porter Jr.,"Sat
4/6",DEN,vs,ATL,"W
142-110",25,20,3,2,1,0,7,12,58.3,4,8,50.0,2,2,100.0,77.6,1,2,1,4,=+15
