PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Clint Capela,"Wed
10/25",ATL,@,CHA,"L
110-116",29,15,13,0,1,0,6,10,60.0,0,0,,3,4,75.0,63.8,6,7,2,1,-19
Clint Capela,"Thu
11/30",ATL,@,SAS,"W
137-135",23,12,9,1,0,1,6,9,66.7,0,0,,0,0,,66.7,4,5,2,4,=+8
Clint Capela,"Tue
11/28",ATL,@,CLE,"L
105-128",22,14,9,0,2,2,6,10,60.0,0,0,,2,2,100.0,64.3,6,3,2,1,-24
Clint Capela,"Sun
11/26",ATL,@,BOS,"L
103-113",21,4,8,1,1,2,1,5,20.0,0,0,,2,6,33.3,26.2,4,4,1,0,-8
Clint Capela,"Sat
11/25",ATL,@,WAS,"W
136-108",18,12,11,1,0,0,6,14,42.9,0,0,,0,2,0.0,40.3,7,4,0,2,=+21
Clint Capela,"Wed
11/22",ATL,vs,BKN,"W
147-145",27,14,15,0,0,3,7,8,87.5,0,0,,0,0,,87.5,9,6,0,1,-13
Clint Capela,"Tue
11/21",ATL,vs,IND,"L
152-157",19,14,5,1,0,2,6,9,66.7,0,0,,2,3,66.7,67.8,3,2,1,4,-10
Clint Capela,"Fri
11/17",ATL,vs,PHI,"L
116-126",29,17,11,2,1,1,7,11,63.6,0,0,,3,5,60.0,64.4,8,3,0,3,-4
Clint Capela,"Wed
11/15",ATL,vs,NYK,"L
114-116",26,8,3,1,2,2,4,5,80.0,0,0,,0,2,0.0,68.0,0,3,0,2,-21
Clint Capela,"Tue
11/14",ATL,@,DET,"W
126-120",27,8,8,1,2,3,3,4,75.0,0,0,,2,2,100.0,82.0,2,6,3,5,=+8
Clint Capela,"Sat
11/11",ATL,vs,MIA,"L
109-117",24,8,12,0,1,2,4,6,66.7,0,0,,0,0,,66.7,7,5,0,3,=+7
Clint Capela,"Thu
11/9",ATL,@,ORL,"W
120-119",26,6,11,4,0,1,2,4,50.0,0,0,,2,4,50.0,52.1,2,9,0,2,=+12
Clint Capela,"Mon
11/6",ATL,@,OKC,"L
117-126",21,6,12,0,1,2,2,5,40.0,0,0,,2,4,50.0,44.4,6,6,1,2,-10
Clint Capela,"Sat
11/4",ATL,@,NOP,"W
123-105",28,17,7,0,0,2,8,9,88.9,0,0,,1,2,50.0,86.0,2,5,0,2,=+19
Clint Capela,"Wed
11/1",ATL,vs,WAS,"W
130-121",21,10,11,0,1,0,4,6,66.7,0,0,,2,2,100.0,72.7,4,7,0,0,=+17
Clint Capela,"Sun
12/31",ATL,@,WAS,"W
130-126",33,11,17,3,1,1,5,11,45.5,0,0,,1,4,25.0,43.1,7,10,3,4,-4
Clint Capela,"Fri
12/29",ATL,vs,SAC,"L
110-117",28,12,12,3,1,2,5,7,71.4,0,0,,2,4,50.0,68.5,6,6,2,1,=+2
Clint Capela,"Tue
12/26",ATL,@,CHI,"L
113-118",27,13,5,1,0,1,5,9,55.6,0,0,,3,4,75.0,60.4,3,2,1,3,-7
Clint Capela,"Sat
12/23",ATL,vs,MEM,"L
119-125",30,20,12,1,0,2,8,11,72.7,0,0,,4,4,100.0,78.4,5,7,1,2,=+2
Clint Capela,"Fri
12/22",ATL,@,MIA,"L
113-122",28,8,10,0,0,0,3,3,100.0,0,0,,2,2,100.0,103.1,3,7,2,5,=+6
Clint Capela,"Wed
12/20",ATL,@,HOU,"W
134-127",21,15,9,2,2,1,4,6,66.7,0,0,,7,7,100.0,82.6,5,4,0,3,-9
Clint Capela,"Mon
12/18",ATL,vs,DET,"W
130-124",28,17,15,2,1,3,7,11,63.6,0,0,,3,3,100.0,69.0,7,8,1,3,=+10
Clint Capela,"Fri
12/15",ATL,@,TOR,"W
125-104",35,18,15,0,0,3,9,12,75.0,0,0,,0,0,,75.0,6,9,1,2,=+20
Clint Capela,"Wed
12/13",ATL,@,TOR,"L
128-135",34,17,10,1,0,3,7,12,58.3,0,0,,3,4,75.0,61.8,6,4,0,3,-17
Clint Capela,"Mon
12/11",ATL,vs,DEN,"L
122-129",28,14,8,2,1,0,6,11,54.5,0,0,,2,2,100.0,58.9,4,4,0,5,-3
Clint Capela,"Fri
12/8",ATL,@,PHI,"L
114-125",30,15,16,2,0,1,6,12,50.0,0,0,,3,4,75.0,54.5,10,6,2,5,-10
Clint Capela,"Wed
12/6",ATL,vs,BKN,"L
113-114",29,9,12,1,0,2,4,6,66.7,0,0,,1,2,50.0,65.4,4,8,1,5,=+3
Clint Capela,"Sat
12/2",ATL,@,MIL,"L
121-132",30,10,17,4,1,3,4,13,30.8,0,0,,2,2,100.0,36.0,8,9,2,4,=+1
Clint Capela,"Tue
1/30",ATL,vs,LAL,"W
138-122",24,13,12,1,1,1,6,10,60.0,0,0,,1,2,50.0,59.7,5,7,1,3,=+11
Clint Capela,"Sun
1/28",ATL,vs,TOR,"W
126-125",28,19,14,0,0,1,9,13,69.2,0,0,,1,2,50.0,68.4,6,8,0,2,=+19
Clint Capela,"Fri
1/26",ATL,vs,DAL,"L
143-148",25,10,8,2,0,1,4,7,57.1,0,0,,2,3,66.7,60.1,3,5,1,2,-7
Clint Capela,"Wed
1/24",ATL,@,GSW,"L
112-134",25,11,11,1,0,1,3,9,33.3,0,0,,5,7,71.4,45.5,3,8,0,2,-4
Clint Capela,"Mon
1/22",ATL,@,SAC,"L
107-122",22,11,12,1,0,2,4,10,40.0,0,0,,3,4,75.0,46.8,6,6,1,0,-8
Clint Capela,"Sat
1/20",ATL,vs,CLE,"L
95-116",22,6,9,0,1,2,3,8,37.5,0,0,,0,0,,37.5,5,4,2,2,-14
Clint Capela,"Fri
1/19",ATL,@,MIA,"W
109-108",22,9,11,0,0,1,2,4,50.0,0,0,,5,7,71.4,63.6,5,6,0,2,-12
Clint Capela,"Wed
1/17",ATL,vs,ORL,"W
106-104",27,12,3,0,1,0,6,6,100.0,0,0,,0,0,,100.0,0,3,1,3,-4
Clint Capela,"Mon
1/15",ATL,vs,SAS,"W
109-99",25,13,12,0,0,4,5,7,71.4,0,0,,3,6,50.0,67.4,6,6,1,2,=+8
Clint Capela,"Sat
1/13",ATL,vs,WAS,"L
99-127",24,4,8,0,0,1,2,8,25.0,0,0,,0,0,,25.0,2,6,0,1,-10
Clint Capela,"Fri
1/12",ATL,vs,IND,"L
108-126",22,7,5,1,1,1,3,5,60.0,0,0,,1,4,25.0,51.8,3,2,0,1,-1
Clint Capela,"Sun
1/7",ATL,@,ORL,"L
110-117",36,4,12,0,3,2,2,6,33.3,0,0,,0,2,0.0,29.1,4,8,1,3,-16
Clint Capela,"Fri
1/5",ATL,@,IND,"L
116-150",19,9,7,0,0,1,4,9,44.4,0,0,,1,2,50.0,45.5,5,2,1,2,-22
Clint Capela,"Wed
1/3",ATL,vs,OKC,"W
141-138",25,12,14,0,0,3,5,8,62.5,0,0,,2,2,100.0,67.6,7,7,0,2,-9
Clint Capela,"Thu
2/29",ATL,@,BKN,"L
97-124",21,7,6,1,0,4,3,4,75.0,0,0,,1,1,100.0,78.8,2,4,4,4,-14
